City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kralendijk,32,BQ,1537556100,62,12.15,-68.27,89.6,17.22
1,lima,0,PE,1537559753,57,-12.06,-77.04,67.79,2.93
2,general roca,0,AR,1537556400,23,-39.03,-67.58,77.0,9.17
3,hobart,0,AU,1537558200,66,-42.88,147.33,48.2,8.05
4,butaritari,12,KI,1537559615,100,3.07,172.79,85.07,7.74
5,pangnirtung,90,CA,1537556400,59,66.15,-65.72,33.8,4.7
6,kruisfontein,0,ZA,1537559649,92,-34.0,24.73,59.78,19.48
7,longyearbyen,75,NO,1537555800,55,78.22,15.63,33.8,18.34
8,ushuaia,75,AR,1537556400,74,-54.81,-68.31,33.8,13.87
9,faanui,92,PF,1537559639,100,-16.48,-151.75,77.96,20.27
10,vao,24,EE,1537559653,56,59.1,26.19,70.49,15.01
11,yumen,0,CN,1537559811,59,40.29,97.04,37.73,4.72
12,albany,90,US,1537556520,73,42.65,-73.75,69.08,20.8
13,new norfolk,0,AU,1537558200,66,-42.78,147.06,48.2,8.05
14,ribeira grande,40,PT,1537558200,88,38.52,-28.7,75.2,13.87
15,bluff,0,AU,1537559616,62,-23.58,149.07,59.15,11.77
16,cidreira,8,BR,1537559713,83,-30.17,-50.22,71.75,5.73
17,dikson,92,RU,1537559615,96,73.51,80.55,39.62,10.09
18,rikitea,92,PF,1537559614,100,-23.12,-134.97,68.6,2.37
19,yarim,44,YE,1537559688,31,14.3,44.38,52.85,2.26
20,port alfred,0,ZA,1537559626,99,-33.59,26.89,61.4,12.66
21,caravelas,0,BR,1537559646,99,-17.73,-39.27,77.15,16.24
22,sobolevo,0,RU,1537559812,80,54.43,31.9,60.5,11.32
23,punta arenas,40,CL,1537556400,60,-53.16,-70.91,44.6,10.29
24,saint-augustin,0,FR,1537558200,77,44.83,-0.61,60.8,4.7
25,shihezi,0,CN,1537559812,65,44.3,86.03,52.85,11.1
26,tomatlan,80,MX,1537559812,97,19.93,-105.25,80.66,4.16
27,petropavlovsk-kamchatskiy,20,RU,1537556400,100,53.05,158.65,42.8,2.24
28,daru,68,SL,1537559813,95,7.99,-10.85,73.64,5.39
29,avarua,40,CK,1537556400,61,-21.21,-159.78,77.0,13.87
30,cape town,20,ZA,1537556400,66,-33.93,18.42,55.4,5.82
31,kaitangata,8,NZ,1537559704,84,-46.28,169.85,47.0,5.5
32,bakchar,88,RU,1537559813,94,57.02,82.07,51.59,3.15
33,lompoc,75,US,1537557720,77,34.64,-120.46,71.96,10.29
34,norman wells,5,CA,1537556400,48,65.28,-126.83,39.2,16.11
35,rabo de peixe,20,PT,1537558200,83,37.8,-25.58,75.2,9.17
36,savinskiy,20,RU,1537559814,76,62.93,40.14,52.31,7.96
37,male,48,UA,1537559814,63,50.74,33.7,66.44,8.52
38,jamestown,0,AU,1537559612,78,-33.21,138.6,38.27,3.27
39,saskylakh,92,RU,1537559618,95,71.97,114.09,40.34,10.42
40,namatanai,0,PG,1537559814,100,-3.66,152.44,81.02,3.94
41,pevek,24,RU,1537559643,100,69.7,170.27,43.22,4.16
